ForwardRates
0.07
0.46
1
1.51
1.94
2.27
2.49
2.64
2.73
2.78
2.8
2.8
2.79
2.77
2.76
2.74
2.73
2.72
2.72
2.72
2.72
2.73
2.75
2.76
2.79
2.81
2.84
2.87
2.9
2.93
